organisationunitid,organisationunitname,organisationunitcode,periodid,periodname,periodcode,Confirmed Mpox Cases,Mpox Deaths,Notified Mpox Cases
LCCic1oY5LS,Angola,COUNTRY_AGO,20241117,2024-11-17,20241117,1,0,1
LCCic1oY5LS,Angola,COUNTRY_AGO,20241201,2024-12-01,20241201,1,,8
LCCic1oY5LS,Angola,COUNTRY_AGO,20241210,2024-12-10,20241210,1,,2
KEfXm64KqkN,Burundi,COUNTRY_BDI,20240801,2024-08-01,20240801,9,0,24
KEfXm64KqkN,Burundi,COUNTRY_BDI,20240808,2024-08-08,20240808,31,0,112
KEfXm64KqkN,Burundi,COUNTRY_BDI,20240814,2024-08-14,20240814,43,0,169
KEfXm64KqkN,Burundi,COUNTRY_BDI,20240821,2024-08-21,20240821,70,0,262
KEfXm64KqkN,Burundi,COUNTRY_BDI,20240829,2024-08-29,20240829,78,0,251
KEfXm64KqkN,Burundi,COUNTRY_BDI,20240905,2024-09-05,20240905,97,0,318
KEfXm64KqkN,Burundi,COUNTRY_BDI,20240912,2024-09-12,20240912,57,0,353
KEfXm64KqkN,Burundi,COUNTRY_BDI,20240919,2024-09-19,20240919,179,0,493
KEfXm64KqkN,Burundi,COUNTRY_BDI,20240926,2024-09-26,20240926,132,0,105
KEfXm64KqkN,Burundi,COUNTRY_BDI,20241003,2024-10-03,20241003,157,0,101
KEfXm64KqkN,Burundi,COUNTRY_BDI,20241010,2024-10-10,20241010,134,0,320
KEfXm64KqkN,Burundi,COUNTRY_BDI,20241018,2024-10-18,20241018,183,0,280
KEfXm64KqkN,Burundi,COUNTRY_BDI,20241024,2024-10-24,20241024,117,0,238
KEfXm64KqkN,Burundi,COUNTRY_BDI,20241030,2024-10-30,20241030,222,0,335
KEfXm64KqkN,Burundi,COUNTRY_BDI,20241107,2024-11-07,20241107,209,0,265
KEfXm64KqkN,Burundi,COUNTRY_BDI,20241114,2024-11-14,20241114,145,0,298
KEfXm64KqkN,Burundi,COUNTRY_BDI,20241122,2024-11-22,20241122,187,1,273
KEfXm64KqkN,Burundi,COUNTRY_BDI,20241129,2024-11-29,20241129,187,0,308
KEfXm64KqkN,Burundi,COUNTRY_BDI,20241206,2024-12-06,20241206,155,0,473
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240105,2024-01-05,20240105,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240112,2024-01-12,20240112,1,0,3
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240119,2024-01-19,20240119,0,0,3
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240126,2024-01-26,20240126,0,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240202,2024-02-02,20240202,0,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240209,2024-02-09,20240209,0,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240216,2024-02-16,20240216,0,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240223,2024-02-23,20240223,0,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240301,2024-03-01,20240301,0,0,3
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240308,2024-03-08,20240308,0,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240315,2024-03-15,20240315,0,0,2
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240322,2024-03-22,20240322,0,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240329,2024-03-29,20240329,0,0,2
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240405,2024-04-05,20240405,1,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240412,2024-04-12,20240412,0,0,2
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240419,2024-04-19,20240419,0,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240426,2024-04-26,20240426,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240503,2024-05-03,20240503,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240510,2024-05-10,20240510,0,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240517,2024-05-17,20240517,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240524,2024-05-24,20240524,0,0,2
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240531,2024-05-31,20240531,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240607,2024-06-07,20240607,0,1,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240614,2024-06-14,20240614,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240621,2024-06-21,20240621,1,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240628,2024-06-28,20240628,0,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240705,2024-07-05,20240705,2,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240712,2024-07-12,20240712,0,0,3
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240719,2024-07-19,20240719,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240726,2024-07-26,20240726,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240802,2024-08-02,20240802,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240809,2024-08-09,20240809,0,0,2
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240816,2024-08-16,20240816,0,0,5
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240823,2024-08-23,20240823,0,0,6
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240830,2024-08-30,20240830,0,0,4
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240906,2024-09-06,20240906,1,0,5
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240913,2024-09-13,20240913,0,0,6
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240920,2024-09-20,20240920,0,0,21
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20240927,2024-09-27,20240927,0,1,8
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20241004,2024-10-04,20241004,0,0,9
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20241011,2024-10-11,20241011,0,0,5
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20241018,2024-10-18,20241018,0,0,6
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20241025,2024-10-25,20241025,0,0,2
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20241101,2024-11-01,20241101,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20241108,2024-11-08,20241108,0,0,2
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20241120,2024-11-20,20241120,3,0,5
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,20241206,2024-12-06,20241206,0,0,11
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240105,2024-01-05,20240105,2,0,6
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240112,2024-01-12,20240112,4,0,12
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240119,2024-01-19,20240119,0,0,3
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240126,2024-01-26,20240126,1,0,8
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240202,2024-02-02,20240202,0,0,9
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240209,2024-02-09,20240209,3,0,7
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240216,2024-02-16,20240216,4,0,15
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240223,2024-02-23,20240223,0,0,2
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240301,2024-03-01,20240301,0,0,4
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240308,2024-03-08,20240308,0,0,4
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240315,2024-03-15,20240315,4,0,6
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240322,2024-03-22,20240322,2,0,5
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240329,2024-03-29,20240329,1,0,1
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240405,2024-04-05,20240405,0,0,4
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240412,2024-04-12,20240412,0,0,10
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240419,2024-04-19,20240419,0,0,10
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240426,2024-04-26,20240426,0,0,2
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240503,2024-05-03,20240503,0,0,2
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240510,2024-05-10,20240510,0,0,3
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240517,2024-05-17,20240517,0,0,3
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240524,2024-05-24,20240524,0,0,9
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240531,2024-05-31,20240531,0,0,3
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240607,2024-06-07,20240607,1,0,3
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240614,2024-06-14,20240614,1,0,3
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240621,2024-06-21,20240621,2,0,5
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240628,2024-06-28,20240628,1,0,4
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240705,2024-07-05,20240705,1,0,1
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240712,2024-07-12,20240712,1,0,3
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240719,2024-07-19,20240719,4,0,23
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240726,2024-07-26,20240726,8,0,30
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240802,2024-08-02,20240802,2,0,30
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240809,2024-08-09,20240809,2,1,27
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240816,2024-08-16,20240816,0,0,5
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240823,2024-08-23,20240823,3,0,10
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240830,2024-08-30,20240830,0,0,12
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240906,2024-09-06,20240906,0,0,1
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240913,2024-09-13,20240913,5,0,22
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240920,2024-09-20,20240920,3,0,17
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20240927,2024-09-27,20240927,2,0,12
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20241004,2024-10-04,20241004,0,0,14
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20241011,2024-10-11,20241011,1,1,12
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20241018,2024-10-18,20241018,4,0,14
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20241025,2024-10-25,20241025,0,0,4
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20241108,2024-11-08,20241108,4,0,14
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20241117,2024-11-17,20241117,5,0,9
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20241123,2024-11-23,20241123,3,0,22
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20241129,2024-11-29,20241129,5,0,18
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,20241206,2024-12-06,20241206,6,1,19
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240105,2024-01-05,20240105,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240112,2024-01-12,20240112,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240119,2024-01-19,20240119,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240126,2024-01-26,20240126,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240202,2024-02-02,20240202,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240209,2024-02-09,20240209,2,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240216,2024-02-16,20240216,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240223,2024-02-23,20240223,0,0,7
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240301,2024-03-01,20240301,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240308,2024-03-08,20240308,17,0,12
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240315,2024-03-15,20240315,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240322,2024-03-22,20240322,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240329,2024-03-29,20240329,0,0,21
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240405,2024-04-05,20240405,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240412,2024-04-12,20240412,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240419,2024-04-19,20240419,0,0,1
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240426,2024-04-26,20240426,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240503,2024-05-03,20240503,0,0,18
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240510,2024-05-10,20240510,0,0,9
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240517,2024-05-17,20240517,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240524,2024-05-24,20240524,0,0,22
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240531,2024-05-31,20240531,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240607,2024-06-07,20240607,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240614,2024-06-14,20240614,0,0,15
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240621,2024-06-21,20240621,0,0,13
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240628,2024-06-28,20240628,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240705,2024-07-05,20240705,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240712,2024-07-12,20240712,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240719,2024-07-19,20240719,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240726,2024-07-26,20240726,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240802,2024-08-02,20240802,0,0,23
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240809,2024-08-09,20240809,0,0,0
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240816,2024-08-16,20240816,2,0,13
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240823,2024-08-23,20240823,0,0,12
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240830,2024-08-30,20240830,0,0,13
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240906,2024-09-06,20240906,0,0,5
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240913,2024-09-13,20240913,0,0,6
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240920,2024-09-20,20240920,0,0,14
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20240927,2024-09-27,20240927,1,0,10
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20241004,2024-10-04,20241004,0,0,11
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20241011,2024-10-11,20241011,0,0,9
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20241018,2024-10-18,20241018,0,0,5
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20241025,2024-10-25,20241025,0,0,10
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20241109,2024-11-09,20241109,0,,5
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20241118,2024-11-18,20241118,0,0,11
HWCYsftSMwj,Congo Republic,COUNTRY_COG,20241125,2024-11-25,20241125,0,0,8
