organisationunitid,organisationunitname,organisationunitcode,periodid,periodname,periodcode,Confirmed Mpox Cases,Mpox Deaths,Notified Mpox Cases
LCCic1oY5LS,Angola,COUNTRY_AGO,2024W48,Week 48 2024-11-25 - 2024-12-01,2024W48,1,,8
LCCic1oY5LS,Angola,COUNTRY_AGO,2024W50,Week 50 2024-12-09 - 2024-12-15,2024W50,1,,2
KEfXm64KqkN,Burundi,COUNTRY_BDI,2024W47,Week 47 2024-11-18 - 2024-11-24,2024W47,187,1,273
KEfXm64KqkN,Burundi,COUNTRY_BDI,2024W48,Week 48 2024-11-25 - 2024-12-01,2024W48,187,0,308
KEfXm64KqkN,Burundi,COUNTRY_BDI,2024W49,Week 49 2024-12-02 - 2024-12-08,2024W49,155,0,473
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W47,Week 47 2024-11-18 - 2024-11-24,2024W47,3,0,5
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W49,Week 49 2024-12-02 - 2024-12-08,2024W49,0,0,11
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W47,Week 47 2024-11-18 - 2024-11-24,2024W47,3,0,22
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W48,Week 48 2024-11-25 - 2024-12-01,2024W48,5,0,18
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W49,Week 49 2024-12-02 - 2024-12-08,2024W49,6,1,19
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W47,Week 47 2024-11-18 - 2024-11-24,2024W47,0,0,11
HWCYsftSMwj,Congo Republic,COUNTRY_COG,2024W48,Week 48 2024-11-25 - 2024-12-01,2024W48,0,0,8
u38LH6mHPpx,Côte d'Ivoire,COUNTRY_CIV,2024W47,Week 47 2024-11-18 - 2024-11-24,2024W47,6,0,14
u38LH6mHPpx,Côte d'Ivoire,COUNTRY_CIV,2024W48,Week 48 2024-11-25 - 2024-12-01,2024W48,4,0,16
u38LH6mHPpx,Côte d'Ivoire,COUNTRY_CIV,2024W49,Week 49 2024-12-02 - 2024-12-08,2024W49,3,0,0
u38LH6mHPpx,Côte d'Ivoire,COUNTRY_CIV,2024W50,Week 50 2024-12-09 - 2024-12-15,2024W50,3,0,32
OJTDPwIKb7w,Democratic Republic of the Congo,COUNTRY_COD,2024W48,Week 48 2024-11-25 - 2024-12-01,2024W48,205,21,2261
MPYBPQ4njnl,Ghana,COUNTRY_GHA,2024W48,Week 48 2024-11-25 - 2024-12-01,2024W48,1,0,24
MPYBPQ4njnl,Ghana,COUNTRY_GHA,2024W50,Week 50 2024-12-09 - 2024-12-15,2024W50,2,0,35
nypUp6Nzh8f,Kenya,COUNTRY_KEN,2024W48,Week 48 2024-11-25 - 2024-12-01,2024W48,2,0,28
nypUp6Nzh8f,Kenya,COUNTRY_KEN,2024W49,Week 49 2024-12-02 - 2024-12-08,2024W49,4,0,15
nypUp6Nzh8f,Kenya,COUNTRY_KEN,2024W50,Week 50 2024-12-09 - 2024-12-15,2024W50,5,0,9
KNfefBfur15,Liberia,COUNTRY_LBR,2024W47,Week 47 2024-11-18 - 2024-11-24,2024W47,10,0,17
KNfefBfur15,Liberia,COUNTRY_LBR,2024W48,Week 48 2024-11-25 - 2024-12-01,2024W48,11,0,21
KNfefBfur15,Liberia,COUNTRY_LBR,2024W50,Week 50 2024-12-09 - 2024-12-15,2024W50,1,0,17
LKyWbdAvZgV,Uganda,COUNTRY_UGA,2024W47,Week 47 2024-11-18 - 2024-11-24,2024W47,78,0,78
LKyWbdAvZgV,Uganda,COUNTRY_UGA,2024W48,Week 48 2024-11-25 - 2024-12-01,2024W48,162,0,162
LKyWbdAvZgV,Uganda,COUNTRY_UGA,2024W49,Week 49 2024-12-02 - 2024-12-08,2024W49,101,3,101
LKyWbdAvZgV,Uganda,COUNTRY_UGA,2024W50,Week 50 2024-12-09 - 2024-12-15,2024W50,141,2,141
